Title,Content,Language,Title_clean,Title_language,Content_clean,Content_language,clean_content,language,predicted_sentiment
Pengurusan alam sekitar perlu seimbang,"Dalam usaha menjadikan Sabah lebih maju dalam bidang bioteknologi, keseimbangan antara kehendak generasi sekarang dan akan datang perlu bagi menguruskan sumber alam semulajadi sama ada dari segi ekonomi mahupun pemuliharaannya. Menteri Pelancongan, Kebudayaan dan Alam Sekitar, Datuk Masidi Manjun berkata dalam pengurusan sumber, pihak berkenaan perlu mengambil langkah berhati-hati kerana ia turut membabitkan aktiviti ekonomi yang besar termasuklah dalam bidang pertanian, pembalakan, perlombongan dan pelancongan. “Saya melihat kajian dan bengkel ini adalah sebagai satu langkah yang baik dalam usaha menjadikan Sabah lebih maju dalam bidang bioteknologi dan farmasi dengan memanfaatkan biodiversiti dan pengetahuan asal,” katanya. Beliau berkata demikian ketika merasmikan Bengkel Mengakses dan Mengkomersilkan Biodiversiti dan Kajian Etno Hutan di sini, kelmarin. Ucapan beliau disampaikan oleh Pembantu Menteri Pelancongan, Kebudayaan dan Alam Sekitar, Datuk Ellron Angin.",ms,pengurusan alam sekitar perlu seimbang,id,dalam usaha menjadikan sabah lebih maju dalam bidang bioteknologi keseimbangan antara kehendak generasi sekarang dan akan datang perlu bagi menguruskan sumber alam semulajadi sama ada dari segi ekonomi mahupun pemuliharaannya menteri pelancongan kebudayaan dan alam sekitar datuk masidi manjun berkata dalam pengurusan sumber pihak berkenaan perlu mengambil langkah berhatihati kerana ia turut membabitkan aktiviti ekonomi yang besar termasuklah dalam bidang pertanian pembalakan perlombongan dan pelancongan saya melihat kajian dan bengkel ini adalah sebagai satu langkah yang baik dalam usaha menjadikan sabah lebih maju dalam bidang bioteknologi dan farmasi dengan memanfaatkan biodiversiti dan pengetahuan asal katanya beliau berkata demikian ketika merasmikan bengkel mengakses dan mengkomersilkan biodiversiti dan kajian etno hutan di sini kelmarin ucapan beliau disampaikan oleh pembantu menteri pelancongan kebudayaan dan alam sekitar datuk ellron angin,ms,dalam usaha menjadikan sabah lebih maju dalam bidang bioteknologi keseimbangan antara kehendak generasi sekarang dan akan datang perlu bagi menguruskan sumber alam semulajadi sama ada dari segi ekonomi mahupun pemuliharaannya menteri pelancongan kebudayaan dan alam sekitar datuk masidi manjun berkata dalam pengurusan sumber pihak berkenaan perlu mengambil langkah berhatihati kerana ia turut membabitkan aktiviti ekonomi yang besar termasuklah dalam bidang pertanian pembalakan perlombongan dan pelancongan saya melihat kajian dan bengkel ini adalah sebagai satu langkah yang baik dalam usaha menjadikan sabah lebih maju dalam bidang bioteknologi dan farmasi dengan memanfaatkan biodiversiti dan pengetahuan asal katanya beliau berkata demikian ketika merasmikan bengkel mengakses dan mengkomersilkan biodiversiti dan kajian etno hutan di sini kelmarin ucapan beliau disampaikan oleh pembantu menteri pelancongan kebudayaan dan alam sekitar datuk ellron angin,ms,negative
Lebih 700 pelajar sertai Hari Alam Sekitar Institut Sinaran,"Diadakan sempena Hari Alam Sekitar Sedunia, Institut Sinaran turut mengadakan pameran bertemakan ‘7 Billion Dreams. One Planet. Consume with Care’ bagi meningkatkan kesedaran masyarakat mengenai kepentingan alam sekitar. Pengerusi Lembaga Pentadbiran Institut Sinaran Fong Tet Kong berkata, semua masyarakat perlu bekerjasama bagi memastikan kesejahteraan serta kemapanan alam sekitar yang berterusan. “Kita harus bersama-sama membantu mengurangkan pencemaran, menjimatkan penggunaan sumber di samping mengurangkan lagi impak negatif terhadap alam sekitar. “Usaha ini penting bagi memastikan kestabilan dan kemapanan alam sekitar berterusan pada masa hadapan khususnya di Sabah,” katanya ketika majlis penutupan Hari Alam Sekitar Institut Sinaran, di sini kelmarin. Fong berkata, Sabah juga dalam usaha mencari penyelesaian yang terbaik bagi mencapai tahap kelestarian serta penggunaan sumber yang cekap. “Kita juga berbesar hati kerana begitu banyak usaha yang dilakukan dalam pengurusan sumber yang cekap sebagai contoh, kini terdapat empat juta hektar kawasan hutan, bakau, marin dan rizab hidupan liar serta kawasan perlindungan di Sabah yang diurus dengan baik,” katanya.",ms,lebih 700 pelajar sertai hari alam sekitar institut sinaran,ms,diadakan sempena hari alam sekitar sedunia institut sinaran turut mengadakan pameran bertemakan 7 billion dreams one planet consume with care bagi meningkatkan kesedaran masyarakat mengenai kepentingan alam sekitar pengerusi lembaga pentadbiran institut sinaran fong tet kong berkata semua masyarakat perlu bekerjasama bagi memastikan kesejahteraan serta kemapanan alam sekitar yang berterusan kita harus bersamasama membantu mengurangkan pencemaran menjimatkan penggunaan sumber di samping mengurangkan lagi impak negatif terhadap alam sekitar usaha ini penting bagi memastikan kestabilan dan kemapanan alam sekitar berterusan pada masa hadapan khususnya di sabah katanya ketika majlis penutupan hari alam sekitar institut sinaran di sini kelmarin fong berkata sabah juga dalam usaha mencari penyelesaian yang terbaik bagi mencapai tahap kelestarian serta penggunaan sumber yang cekap kita juga berbesar hati kerana begitu banyak usaha yang dilakukan dalam pengurusan sumber yang cekap sebagai contoh kini terdapat empat juta hektar kawasan hutan bakau marin dan rizab hidupan liar serta kawasan perlindungan di sabah yang diurus dengan baik katanya,ms,diadakan sempena hari alam sekitar sedunia institut sinaran turut mengadakan pameran bertemakan 7 billion dreams one planet consume with care bagi meningkatkan kesedaran masyarakat mengenai kepentingan alam sekitar pengerusi lembaga pentadbiran institut sinaran fong tet kong berkata semua masyarakat perlu bekerjasama bagi memastikan kesejahteraan serta kemapanan alam sekitar yang berterusan kita harus bersamasama membantu mengurangkan pencemaran menjimatkan penggunaan sumber di samping mengurangkan lagi impak negatif terhadap alam sekitar usaha ini penting bagi memastikan kestabilan dan kemapanan alam sekitar berterusan pada masa hadapan khususnya di sabah katanya ketika majlis penutupan hari alam sekitar institut sinaran di sini kelmarin fong berkata sabah juga dalam usaha mencari penyelesaian yang terbaik bagi mencapai tahap kelestarian serta penggunaan sumber yang cekap kita juga berbesar hati kerana begitu banyak usaha yang dilakukan dalam pengurusan sumber yang cekap sebagai contoh kini terdapat empat juta hektar kawasan hutan bakau marin dan rizab hidupan liar serta kawasan perlindungan di sabah yang diurus dengan baik katanya,ms,positive
Pelan tindakan untuk pengurusan alam sekitar di semua daerah,"Kementerian Pembangunan Luar Bandar (KPLB) memberikan tempoh sehingga 15 Jun depan bagi semua daerah di Sabah yang mengikuti Kursus Pengurusan Alam Sekitar bagi mengemukakan satu pelan tindakan. Menterinya, Datuk Dr Ewon Ebin berkata, pelan tindakan itu diperlukan bagi memudahkan pengurusan alam sekitar di sesebuah daerah khususnya untuk melupuskan sampah. Katanya, kerajaan memang mengambil berat tanggungjawab dalam memulihara alam sekitar kerana pemuliharaan itu akan menjamin kesinambungan kehidupan di dunia.",ms,pelan tindakan untuk pengurusan alam sekitar di semua daerah,id,kementerian pembangunan luar bandar kplb memberikan tempoh sehingga 15 jun depan bagi semua daerah di sabah yang mengikuti kursus pengurusan alam sekitar bagi mengemukakan satu pelan tindakan menterinya datuk dr ewon ebin berkata pelan tindakan itu diperlukan bagi memudahkan pengurusan alam sekitar di sesebuah daerah khususnya untuk melupuskan sampah katanya kerajaan memang mengambil berat tanggungjawab dalam memulihara alam sekitar kerana pemuliharaan itu akan menjamin kesinambungan kehidupan di dunia,ms,kementerian pembangunan luar bandar kplb memberikan tempoh sehingga 15 jun depan bagi semua daerah di sabah yang mengikuti kursus pengurusan alam sekitar bagi mengemukakan satu pelan tindakan menterinya datuk dr ewon ebin berkata pelan tindakan itu diperlukan bagi memudahkan pengurusan alam sekitar di sesebuah daerah khususnya untuk melupuskan sampah katanya kerajaan memang mengambil berat tanggungjawab dalam memulihara alam sekitar kerana pemuliharaan itu akan menjamin kesinambungan kehidupan di dunia,ms,negative
Penduduk mahu pembalakan haram dihentikan,"Penduduk rumah panjang di Batu 9, Jalan Teku di sini memohon jasa baik pihak berkaitan menghentikan aktiviti pembalakan haram di Batu 8, Jalan Oya (belakang Taman Permai/Kampung Jeriah) di sini. Tuai Rumah Johnny Suan, 41, mewakili penduduknya berkata, kegiatan terbabit berlaku sejak Jun lalu. “Kami pernah melaporkan perkara ini di Balai Polis Sungai Merah pada 24 Jun lalu. Selepas itu, pihak berkenaan mengambil tindakan sewajarnya kepada pembalak haram terbabit. Namun, tidak lama selepas itu kegiatan itu beroperasi kembali. “Ia terus beroperasi sehingga kami membuat laporan polis lagi pada 19 November lalu. Bagaimanapun, aktiviti pembalakan haram masih lagi diteruskan sehingga kini,” katanya di sini semalam. Johnny mendakwa, selain melakukan aktiviti haram individu atau syarikat terbabit dikatakan menceroboh tanah Hak Adat Bumiputera (NCR) atau lebih dikenali dalam bahasa tempatan ‘Pemakai Menua’ milik tiga penduduk rumah panjang di sini.",ms,penduduk mahu pembalakan haram dihentikan,id,penduduk rumah panjang di batu 9 jalan teku di sini memohon jasa baik pihak berkaitan menghentikan aktiviti pembalakan haram di batu 8 jalan oya belakang taman permaikampung jeriah di sini tuai rumah johnny suan 41 mewakili penduduknya berkata kegiatan terbabit berlaku sejak jun lalu kami pernah melaporkan perkara ini di balai polis sungai merah pada 24 jun lalu selepas itu pihak berkenaan mengambil tindakan sewajarnya kepada pembalak haram terbabit namun tidak lama selepas itu kegiatan itu beroperasi kembali ia terus beroperasi sehingga kami membuat laporan polis lagi pada 19 november lalu bagaimanapun aktiviti pembalakan haram masih lagi diteruskan sehingga kini katanya di sini semalam johnny mendakwa selain melakukan aktiviti haram individu atau syarikat terbabit dikatakan menceroboh tanah hak adat bumiputera ncr atau lebih dikenali dalam bahasa tempatan pemakai menua milik tiga penduduk rumah panjang di sini,id,penduduk rumah panjang di batu 9 jalan teku di sini memohon jasa baik pihak berkaitan menghentikan aktiviti pembalakan haram di batu 8 jalan oya belakang taman permaikampung jeriah di sini tuai rumah johnny suan 41 mewakili penduduknya berkata kegiatan terbabit berlaku sejak jun lalu kami pernah melaporkan perkara ini di balai polis sungai merah pada 24 jun lalu selepas itu pihak berkenaan mengambil tindakan sewajarnya kepada pembalak haram terbabit namun tidak lama selepas itu kegiatan itu beroperasi kembali ia terus beroperasi sehingga kami membuat laporan polis lagi pada 19 november lalu bagaimanapun aktiviti pembalakan haram masih lagi diteruskan sehingga kini katanya di sini semalam johnny mendakwa selain melakukan aktiviti haram individu atau syarikat terbabit dikatakan menceroboh tanah hak adat bumiputera ncr atau lebih dikenali dalam bahasa tempatan pemakai menua milik tiga penduduk rumah panjang di sini,id,Unknown
Didik golongan muda prihatin terhadap pemuliharaan alam sekitar,"Golongan muda harus dididik dan disedarkan mengenai pentingnya pemuliharaan alam sekitar untuk keseimbangan alam semula jadi dan ekosistem memandangkan isu ketidakseimbangan alam kian meruncing. Residen Bahagian Sarikei Dr Anthony Valentine Laiseh berkata melalui kesedaran itu, generasi muda dapat memain peranan lebih aktif dan menggembleng tenaga melindungi alam sekitar serta menyelesaikan masalah berkaitan isu persekitaran. “Pelestarian alam sekitar merupakan isu penting yang harus disemai dalam kalangan generasi muda ke arah mengekal keindahan alam semula jadi untuk tatapan generasi akan datang. “Alam semula jadi khazanah paling berharga.  Pemusnahan dan penebangan hutan secara berleluasa tanpa kawalan harus dipandang serius oleh semua pihak dan tidak meletakkannya sebagai tanggungjawab satu pihak sahaja.",ms,didik golongan muda prihatin terhadap pemuliharaan alam sekitar,ms,golongan muda harus dididik dan disedarkan mengenai pentingnya pemuliharaan alam sekitar untuk keseimbangan alam semula jadi dan ekosistem memandangkan isu ketidakseimbangan alam kian meruncing residen bahagian sarikei dr anthony valentine laiseh berkata melalui kesedaran itu generasi muda dapat memain peranan lebih aktif dan menggembleng tenaga melindungi alam sekitar serta menyelesaikan masalah berkaitan isu persekitaran pelestarian alam sekitar merupakan isu penting yang harus disemai dalam kalangan generasi muda ke arah mengekal keindahan alam semula jadi untuk tatapan generasi akan datang alam semula jadi khazanah paling berharga pemusnahan dan penebangan hutan secara berleluasa tanpa kawalan harus dipandang serius oleh semua pihak dan tidak meletakkannya sebagai tanggungjawab satu pihak sahaja,ms,golongan muda harus dididik dan disedarkan mengenai pentingnya pemuliharaan alam sekitar untuk keseimbangan alam semula jadi dan ekosistem memandangkan isu ketidakseimbangan alam kian meruncing residen bahagian sarikei dr anthony valentine laiseh berkata melalui kesedaran itu generasi muda dapat memain peranan lebih aktif dan menggembleng tenaga melindungi alam sekitar serta menyelesaikan masalah berkaitan isu persekitaran pelestarian alam sekitar merupakan isu penting yang harus disemai dalam kalangan generasi muda ke arah mengekal keindahan alam semula jadi untuk tatapan generasi akan datang alam semula jadi khazanah paling berharga pemusnahan dan penebangan hutan secara berleluasa tanpa kawalan harus dipandang serius oleh semua pihak dan tidak meletakkannya sebagai tanggungjawab satu pihak sahaja,ms,negative
Sabah tubuh Majlis Tindakan Iklim tangani isu perubahan iklim,"Kerajaan Negeri telah menubuhkan Majlis Tindakan lklim Sabah yang bertindak dalam menetapkan hala tuju dan menyelaras projek-projek mitigasi dan adaptasi perubahan iklim di peringkat negeri, kata Ketua Menteri, Datuk Seri Hajiji Noor. Katanya, Sabah telah membuat pindaan ke atas Ordinan Tanah Sabah Bab 68, dengan memasukkan peruntukan perundangan berkaitan penyimpanan karbon yang mula berkuat kuasa pada 19 Jun 2023. “Selain itu, Sabah juga baru sahaja menyelesaikan kajian inventori ""greenhouse gas"" Sabah dan penilaian kerentanan untuk pembangunan Dasar Perubahan lklim Sabah ke arah pembangunan rendah karbon Sabah,” katanya menurut kenyataan media.",ms,sabah tubuh majlis tindakan iklim tangani isu perubahan iklim,ms,kerajaan negeri telah menubuhkan majlis tindakan lklim sabah yang bertindak dalam menetapkan hala tuju dan menyelaras projekprojek mitigasi dan adaptasi perubahan iklim di peringkat negeri kata ketua menteri datuk seri hajiji noor katanya sabah telah membuat pindaan ke atas ordinan tanah sabah bab 68 dengan memasukkan peruntukan perundangan berkaitan penyimpanan karbon yang mula berkuat kuasa pada 19 jun 2023 selain itu sabah juga baru sahaja menyelesaikan kajian inventori greenhouse gas sabah dan penilaian kerentanan untuk pembangunan dasar perubahan lklim sabah ke arah pembangunan rendah karbon sabah katanya menurut kenyataan media,ms,kerajaan negeri telah menubuhkan majlis tindakan lklim sabah yang bertindak dalam menetapkan hala tuju dan menyelaras projekprojek mitigasi dan adaptasi perubahan iklim di peringkat negeri kata ketua menteri datuk seri hajiji noor katanya sabah telah membuat pindaan ke atas ordinan tanah sabah bab 68 dengan memasukkan peruntukan perundangan berkaitan penyimpanan karbon yang mula berkuat kuasa pada 19 jun 2023 selain itu sabah juga baru sahaja menyelesaikan kajian inventori greenhouse gas sabah dan penilaian kerentanan untuk pembangunan dasar perubahan lklim sabah ke arah pembangunan rendah karbon sabah katanya menurut kenyataan media,ms,negative
Kumpulan Sawit Kinabalu ke arah tenaga boleh diperbaharui,"Kumpulan Sawit Kinabalu komited dalam memberi fokus untuk memantau tenaga boleh diperbaharui dan kesan rumah hijau, khasnya berkaitan aktiviti sawit dan mitigasi berkenaan perubahan iklim semasa. Pengurus Besar Bahagian Kelestarian Kumpulan Sawit Kinabalu, Nazlan Mohamad berkata, ia dilaksanakan Unit Karbon dan Perubahan Iklim yang baru diwujudkan sejak Jun tahun ini. Jelasnya, unit ini penting dalam memahami perubahan iklim semasa. khasnya di Sabah, dan dalam usaha melestari alam sekitar.",ms,kumpulan sawit kinabalu ke arah tenaga boleh diperbaharui,ms,kumpulan sawit kinabalu komited dalam memberi fokus untuk memantau tenaga boleh diperbaharui dan kesan rumah hijau khasnya berkaitan aktiviti sawit dan mitigasi berkenaan perubahan iklim semasa pengurus besar bahagian kelestarian kumpulan sawit kinabalu nazlan mohamad berkata ia dilaksanakan unit karbon dan perubahan iklim yang baru diwujudkan sejak jun tahun ini jelasnya unit ini penting dalam memahami perubahan iklim semasa khasnya di sabah dan dalam usaha melestari alam sekitar,ms,kumpulan sawit kinabalu komited dalam memberi fokus untuk memantau tenaga boleh diperbaharui dan kesan rumah hijau khasnya berkaitan aktiviti sawit dan mitigasi berkenaan perubahan iklim semasa pengurus besar bahagian kelestarian kumpulan sawit kinabalu nazlan mohamad berkata ia dilaksanakan unit karbon dan perubahan iklim yang baru diwujudkan sejak jun tahun ini jelasnya unit ini penting dalam memahami perubahan iklim semasa khasnya di sabah dan dalam usaha melestari alam sekitar,ms,negative
Sabah komited dasar alam sekitar proaktif,"Sabah menerusi usaha Kementerian Pelancongan, Kebudayaan dan Alam Sekitar (KePKAS) komited dalam usaha dasar alam sekitar yang proaktif, khasnya bagi pembangunan mampan dan mengikut standard sewajarnya. Menterinya, Datuk Seri Christina Liew berkata Dasar Negeri Sabah mengenai Akta Perlindungan Alam Sekitar 2017 dan Enakmen Perlindungan Alam Sekitar 2002 berperanan khusus sebagai rangka kerja kritikal untuk membimbing komitmen negeri terhadap usaha pemuliharaan dan kemampanan. “Alam sekitar kita adalah elemen penting dan menjadi tonggak strategik dalam pembangunan mampan, dan pastinya memerlukan penggunaan dasar yang sesuai dengan menggabungkan faktor dan piawaian alam sekitar ke dalam semua aktiviti pembangunan untuk mengekalkan kelestarian alam sekitar dan sosial,” katanya pada Majlis Sambutan Hari Alam Sekitar Kebangsaan 2024, Peringkat Negeri Sabah di sini, Isnin malam.",ms,sabah komited dasar alam sekitar proaktif,id,sabah menerusi usaha kementerian pelancongan kebudayaan dan alam sekitar kepkas komited dalam usaha dasar alam sekitar yang proaktif khasnya bagi pembangunan mampan dan mengikut standard sewajarnya menterinya datuk seri christina liew berkata dasar negeri sabah mengenai akta perlindungan alam sekitar 2017 dan enakmen perlindungan alam sekitar 2002 berperanan khusus sebagai rangka kerja kritikal untuk membimbing komitmen negeri terhadap usaha pemuliharaan dan kemampanan alam sekitar kita adalah elemen penting dan menjadi tonggak strategik dalam pembangunan mampan dan pastinya memerlukan penggunaan dasar yang sesuai dengan menggabungkan faktor dan piawaian alam sekitar ke dalam semua aktiviti pembangunan untuk mengekalkan kelestarian alam sekitar dan sosial katanya pada majlis sambutan hari alam sekitar kebangsaan 2024 peringkat negeri sabah di sini isnin malam,ms,sabah menerusi usaha kementerian pelancongan kebudayaan dan alam sekitar kepkas komited dalam usaha dasar alam sekitar yang proaktif khasnya bagi pembangunan mampan dan mengikut standard sewajarnya menterinya datuk seri christina liew berkata dasar negeri sabah mengenai akta perlindungan alam sekitar 2017 dan enakmen perlindungan alam sekitar 2002 berperanan khusus sebagai rangka kerja kritikal untuk membimbing komitmen negeri terhadap usaha pemuliharaan dan kemampanan alam sekitar kita adalah elemen penting dan menjadi tonggak strategik dalam pembangunan mampan dan pastinya memerlukan penggunaan dasar yang sesuai dengan menggabungkan faktor dan piawaian alam sekitar ke dalam semua aktiviti pembangunan untuk mengekalkan kelestarian alam sekitar dan sosial katanya pada majlis sambutan hari alam sekitar kebangsaan 2024 peringkat negeri sabah di sini isnin malam,ms,positive
Biodiversiti Sabah tarik perhatian universiti dari United Kingdom,"Pemeliharaan dan pemuliharaan biodiversiti di Tapak Warisan Dunia Taman Kinabalu menarik perhatian pelajar universiti dari Swansea University, United Kingdom. Datang dari pelbagai latar belakang, sekumpulan 25 pelajar tahun ketiga Biologi ini mengadakan lawatan sambil belajar ke Taman Kinabalu hujung minggu lalu, di mana mereka dimaklumkan mengenai inisiatif perlindungan dan pemuliharaan alam sekitar Sabah. Pelajar-pelajar ini yang diketuai oleh Dr. Aisling Devine disambut mesra oleh Pegawai Penyelidik Ekologi Taman-Taman Sabah, Vanielie Terrence Justine, Sabtu lalu. Tujuan utama lawatan ini adalah untuk mempelajari lebih lanjut tentang flora dan fauna di Taman Kinabalu, yang merupakan Tapak Warisan Dunia Unesco. ",ms,biodiversiti sabah tarik perhatian universiti dari united kingdom,id,pemeliharaan dan pemuliharaan biodiversiti di tapak warisan dunia taman kinabalu menarik perhatian pelajar universiti dari swansea university united kingdom datang dari pelbagai latar belakang sekumpulan 25 pelajar tahun ketiga biologi ini mengadakan lawatan sambil belajar ke taman kinabalu hujung minggu lalu di mana mereka dimaklumkan mengenai inisiatif perlindungan dan pemuliharaan alam sekitar sabah pelajarpelajar ini yang diketuai oleh dr aisling devine disambut mesra oleh pegawai penyelidik ekologi tamantaman sabah vanielie terrence justine sabtu lalu tujuan utama lawatan ini adalah untuk mempelajari lebih lanjut tentang flora dan fauna di taman kinabalu yang merupakan tapak warisan dunia unesco ,ms,pemeliharaan dan pemuliharaan biodiversiti di tapak warisan dunia taman kinabalu menarik perhatian pelajar universiti dari swansea university united kingdom datang dari pelbagai latar belakang sekumpulan 25 pelajar tahun ketiga biologi ini mengadakan lawatan sambil belajar ke taman kinabalu hujung minggu lalu di mana mereka dimaklumkan mengenai inisiatif perlindungan dan pemuliharaan alam sekitar sabah pelajarpelajar ini yang diketuai oleh dr aisling devine disambut mesra oleh pegawai penyelidik ekologi tamantaman sabah vanielie terrence justine sabtu lalu tujuan utama lawatan ini adalah untuk mempelajari lebih lanjut tentang flora dan fauna di taman kinabalu yang merupakan tapak warisan dunia unesco ,ms,positive
Sabah kekal 64 peratus kawasan litupan hutan,"Sabah pada masa ini mengekalkan 64 peratus daripada keluasan negeri ini sebagai litupan hutan dalam usaha melindungi khazanah semulajadi Negeri di Bawah Bayu ini, kata Ketua Menteri Datuk Seri Hajiji Noor. Beliau berkata kawasan itu juga meliputi 3.84 juta hektar atau 52 peratus keluasan negeri sebagai  kawasan yang diwartakan sebagai kawasan hutan simpan dan kawasan perlindungan lain. Katanya, langkah itu juga selaras dengan komitmen Kerajaan Sabah untuk mengekalkan sekurang-kurangnya 50 peratus daripada keluasan negeri ini sebagai litupan hutan negeri sejajar dengan Dasar Hutan Sabah 2018. “Bagi memperkasa pengurusan hutan negeri dan melindungi khazanah penting itu, Sabah telah mewartakan sehingga 1.9 juta hektar atau 26.4 peratus sebagai Kawasan Terlindung Sepenuhnya. Ia penting bagi mencapai sasaran 2.2 juta hektar atau 30 peratus daripada keluasan negeri (sebagai Kawasan Terlindung Sepenuhnya) menjelang 2025,” katanya dalam ucapan pelancaran Hari Hutan Antarabangsa 2023 Peringkat Negeri Sabah di Rainforest Discovery Centre (RDC) di sini, Khamis.",ms,sabah kekal 64 peratus kawasan litupan hutan,ms,sabah pada masa ini mengekalkan 64 peratus daripada keluasan negeri ini sebagai litupan hutan dalam usaha melindungi khazanah semulajadi negeri di bawah bayu ini kata ketua menteri datuk seri hajiji noor beliau berkata kawasan itu juga meliputi 384 juta hektar atau 52 peratus keluasan negeri sebagai kawasan yang diwartakan sebagai kawasan hutan simpan dan kawasan perlindungan lain katanya langkah itu juga selaras dengan komitmen kerajaan sabah untuk mengekalkan sekurangkurangnya 50 peratus daripada keluasan negeri ini sebagai litupan hutan negeri sejajar dengan dasar hutan sabah 2018 bagi memperkasa pengurusan hutan negeri dan melindungi khazanah penting itu sabah telah mewartakan sehingga 19 juta hektar atau 264 peratus sebagai kawasan terlindung sepenuhnya ia penting bagi mencapai sasaran 22 juta hektar atau 30 peratus daripada keluasan negeri sebagai kawasan terlindung sepenuhnya menjelang 2025 katanya dalam ucapan pelancaran hari hutan antarabangsa 2023 peringkat negeri sabah di rainforest discovery centre rdc di sini khamis,ms,sabah pada masa ini mengekalkan 64 peratus daripada keluasan negeri ini sebagai litupan hutan dalam usaha melindungi khazanah semulajadi negeri di bawah bayu ini kata ketua menteri datuk seri hajiji noor beliau berkata kawasan itu juga meliputi 384 juta hektar atau 52 peratus keluasan negeri sebagai kawasan yang diwartakan sebagai kawasan hutan simpan dan kawasan perlindungan lain katanya langkah itu juga selaras dengan komitmen kerajaan sabah untuk mengekalkan sekurangkurangnya 50 peratus daripada keluasan negeri ini sebagai litupan hutan negeri sejajar dengan dasar hutan sabah 2018 bagi memperkasa pengurusan hutan negeri dan melindungi khazanah penting itu sabah telah mewartakan sehingga 19 juta hektar atau 264 peratus sebagai kawasan terlindung sepenuhnya ia penting bagi mencapai sasaran 22 juta hektar atau 30 peratus daripada keluasan negeri sebagai kawasan terlindung sepenuhnya menjelang 2025 katanya dalam ucapan pelancaran hari hutan antarabangsa 2023 peringkat negeri sabah di rainforest discovery centre rdc di sini khamis,ms,positive
