Title,Content,Language,Predicted Sentiment,Actual Sentiment
Blue economy and development in Sabah and its challenges,as we move towards a more sustainable economic model the blue economy has emerged as a key pillar for economic diversification and environmentalconservation sabah has vast coastline rich marine biodiversity and strategic location in the south china sea is uniquely positioned to benefit from this economic shift the blue economy refers to the sustainable use of ocean resources to promote economic growth enhance livelihoods and ensure marine ecosystem health it encompasses various sectors including fisheries aquaculture marine tourism maritime transport renewable energy and marine biotechnology given sabahs abundant marine resources and coastal industries the blue economy offers a strategic opportunity for longterm economic prosperity however significant challenges and issues hinder the development of sabahs blue economy including climate change pollution overfishing weak infrastructure and regulatory gaps addressing these obstacles requires collaborative efforts between the government private sector research institutions and local communities one of the most critical stakeholders in advancing the blue economy is the engineering sector engineers play a vital role in infrastructure development technology innovation and environmental management ensuring that oceanbased industries grow sustainably ,en,positive,positive
"Sabah committed to embrace Environment, Social, Corporate Governance",chief minister datuk seri panglima haji hajiji haji noor said sabah remains steadfast in its commitment to governance transparency and anticorruption efforts which will create a conducive environment for business and investment our adherence to international best practices including those outlined by the united nations sustainable development goals sdgs underscores our dedication to ethical governance and accountability by upholding principles of transparency and integrity sabah strengthens investor confidence and promotes longterm sustainable development he said at the environment social corporate governance esg initiatives awareness forum at magellan sutera harbour resort here on tuesday,en,positive,positive
Saving our forests for the future,the covid19 crisis is believed to have opened the door for radical changes that are essential to safeguard our forests and help prevent the next pandemic tropical forest regions that experience landuse change are more prone to forest loss and if this is allowed to continue prevention of future pandemics may not be a realistic option our approach to forests therefore has to change for the better and as governments create policies to address the economic and social impacts of the global pandemic there is an equally pressing need to confront issues of overconsumption and put greater value on health and nature this is humanitys best interests as part of its efforts to bring to light the seriousness of forest loss wwf recently launched the deforestation fronts drivers and responses in a changing world report which provides an indepth analysis of deforestation hotspots referred to as deforestation fronts in the report these hotspots are remaining parts of large forests of global importance that are under threat the report reveals that an area roughly twice the size of the uk was lost to deforestation globally in just over a decade while borneo is among the 24 countries identified as a deforestation hotspot in the report it is crucial to know that the numbers attributed to borneo in the report represent the summation of forest loss in both tropical indonesia borneo and tropical malaysia borneo sabah and sarawak,en,positive,positive
"Sabah launches Forest Seed Garden project to boost sustainable timber, biodiversity",the sabah forestry department sfd and sawit kinabalu group are collaborating to establish the forest seed garden fsg at sungai pin conservation area spnca in kinabatangan this partnership aims to develop an agroforestry model incorporating timber plantation trees with a focus on sustainable forestry practices and biodiversity conservation the letter of intent for this project was handed over at the forestry headquarters in sandakan today the initial phase of the project will involve research to evaluate cost efficiency and optimal plantation practices including fertiliser treatments and mulching as well as methods for enhancing timber growth the study will provide valuable insights into the viability of agroforestry systems for timber production in sabah under sfd research work will be undertaken by the forest plantation programme of the forest research centre while for sawit kinabalu it will be carried out by the conservation and biodiversity unit this is an exciting endeavour and an important project as the two parties start to work towards the goal of establishing a sustainable model that can be replicated work on the project is already underway with a total of six plots established as part of the initial phase said a statement,en,positive,positive
Sabah establishes council to address climate change issues,the state government has established the sabah climate action council scac to set direction and coordinate climate change mitigation and adaptation projects at the state level said datuk seri panglima hajiji noor according to the chief minister sabah has amended the sabah land ordinance chapter 68 to include legal provisions related to carbon storage which came into effect on june 19 2023 in addition sabah has also just completed the greenhouse gas ghg inventory study and vulnerability assessment for the development of the sabah climate change policy towards a lowcarbon development he said,en,negative,positive
CM: Sabah ready to work with stakeholders in combating climate change,the sabah state government will collaborate with all stakeholders to combat climate change and its challenges said chief minister datuk seri panglima haji hajiji haji noor he said the state government is taking steps in this direction including agroforestry programmes organic farming incentives and communitybased conservation projects aimed at building resilience among local populations however these efforts require sustained support not only from within malaysia but also from international partners committed to fostering sustainable development he said at the kinabalu convention 2025 food security climate change and investment at the magellan sutera resort here on monday his speech was delivered by deputy chief ministeragriculture fisheries and food industry minister datuk seri panglima dr jeffrey kitingan he said addressing food insecurity and climate change requires more than goodwill since it demands substantial financial resources and strategic partnerships the private sector is called upon to get involved and complement efforts by the government we invite businesses investors and all likeminded organisations to explore green investments to address these issues he said,en,positive,positive
Sabah Forestry Department strives to excel in Sustainable Forest Management,the sabah forestry department strives to excel in sustainable forest management sfm and innovation can indeed play a crucial role in creating a better way of life for both humans and forests chief conservator of forests datuk frederick kugan said the forests are an important natural asset to the state not only for their significant contribution to socioeconomic development but also for their essential role in the maintenance of the quality of the environment biodiversity and forest recreation hence sustainable use of natural resources from the forests and biodiversity conservation with innovative approaches are significant in ensuring a better tomorrow for our future generation reduced impact logging ril is among the earlier innovative features in sfm he said in a statement to mark the international day of forests idf which falls on march 21 according to kugan todays innovative technologies such as drones satellite imaging and mapping can be used to monitor forests identify areas for restoration combat deforestation and illegal logging among some of the uptodate applications in forestry operation include iforsabah and geoforest while in forestry research we have the conservation area information and monitoring system caims and the sabah ecosystem hub,en,positive,positive
"Sabah Forestry Department proactive, committed in mangrove management",mangrove forests play a crucial role in mitigating climate change by sequestering carbon from the atmosphere this remarkable ecosystem can store carbon belowground as a soil carbon up to four times more efficient than other forest types the mangrove ecosystem supports a diverse range of organisms by providing breeding grounds habitats and nurseries for various marine species realising the importance of mangroves the chief conservator of forests datuk frederick kugan highlighted that the sabah forestry department has been proactive and committed in mangrove management sabahs mangrove action plan which was developed and launched last year serves as a guide to efficiently manage the mangrove forests in sabah encompassing conservation protection and restoration of mangroves in line with the hala tuju sabah maju jaya smj and sabah forest policy 2018 successful mangrove rehabilitation in degraded areas depended on suitable planting methods and proper site selection it is important to understand the autecology and natural expansion of mangrove forests as it is not a onetime effort but rather requires an ongoing commitment and continuous work for the betterment of mangrove ecosystems,en,positive,positive
Sabah allocates RM11.15 million for green landscape programmes,the government has allocated rm1115 million for the implementation of various landscape programmes and projects in sabah this year said deputy chief minister ii datuk seri dr joachim gunsalam he said the allocation provided by the federal and state governments will be distributed to all local government authorities pbt in sabah to develop and upgrade green infrastructure for the wellbeing of the people according to joachim who is also the sabah minister of local government and housing the allocation is in line with the sabah landscape development planning initiative which emphasises the importance of sustainability environmental beauty and ecological balance in urban and rural development i understand the need for allocations for pbts to develop and upgrade green infrastructure facilities for the wellbeing of the local community he said in his special address in conjunction with the i plant programme here on tuesday,en,positive,positive
"Sabah aims to become renewable energy hub, attract global investment",the sabah state government welcomes global investors and industry pioneers to explore the huge potential of renewable energy in the state with the vision of making sabah a regional green energy hub the state government is committed to developing clean energy projects including solar hydroelectric wind and geothermal energy this initiative will not only ensure sustainable energy sources but also open up highvalue job opportunities and drive the growth of green industries in sabah technical advisor energy to the chief minister of sabah datuk dr james lim reiterated this commitment when receiving a courtesy call from a delegation from bgrimm power company from thailand on wednesday the delegation led by head of international business development khawar khan was present to discuss investment opportunities in the energy sector in sabah according to james chief minister datuk seri panglima hajiji haji noor is very committed to this green energy agenda he previously stated sabah is not just investing in renewable energy but we are building a future where clean energy is the driver and key accelerator of economic transformation we welcome global strategic partners to work together to create jobs for sabahans reduce carbon emissions and make sabah a leading destination for green industries,en,positive,positive
Reducing impact of climate change top priority for Sabah,sabah will make efforts to reduce the impact of climate change as the state governments main agenda through various measures and initiatives introduced to realise that goal said chief minister datuk hajiji noor he said that commitment among others could be seen through the sabah governments target to plant about 36 million trees within five years until 2025 through the malaysia greening programme initiative nationwide themed greening malaysia our trees our life so far nearly 45 million trees have been planted nationwide through the programme he said sabah has also formed the climate change action council under the purview of the sabah forestry department to discuss climate change policies and actions drive green economic growth catalyse green technology as well as lowcarbon growth this is in line with sabahs policy on the environment as well as the nations aspiration especially in the climate mitigation and adaptation processes climate change is among the main aspects in the policy and we are committed to taking all the necessary steps to ensure the air quality in the state will not become worse as a result of development activities he said when officiating the sabah climate change international conference 2021 on tuesday,en,positive,positive
Yayasan Sabah strengthens conservation efforts,the yayasan sabah group organised a seminar of maliau basin conservation areas wildlife and resources survey on thursday at the shangrila tanjung aru here officiated by the assistant minister to the chief minister of sabah datuk abidin bin madingkir the seminar featured the latest findings on biodiversity in the maliau basin conservation area mbca in addition to strengthening conservation efforts in sabah in his speech abidin expressed appreciation to the yayasan sabah group for conducting a 14day survey in may 2024 this effort aims to obtain the latest data on wildlife assess the threats faced and explore the potential for ecotourism development in the maliau basin he also highlighted sabah as the land below the wind and a paradise full of biodiversity strengthening malaysias position as a country with megabiodiversity sabah is blessed with natural beauty and rich biodiversity which gives high value not only in terms of the environment but also the economy and socioeconomics of the people said abidin conservation areas such as danum valley maliau basin and mount kinabalu are the main ecotourism attractions that also open up job opportunities for sabahans he said further,en,positive,positive
70% of endemic trees in Sabah threatened,a book on sabahs endemic tree species was launched at the international conference on heart of borneo at the sabah international convention centre sicc here on wednesday the red list of sabah endemic trees compiles the conservation status assessment of 291 sabah endemic tree species that have been validly published on the iucn red list of threatened species website from 2018 up to 2022 the compilation was derived from the initiative by the sabah forestry department together with the botanical garden conservation international bgci and iucn ssc global tree specialist group gtsg both are leading the global tree assessment initiative gta ninetyfive per cent of the 291 species were largely assessed by researchers from the sabah forestry department dr colin maycock and student interns from universiti malaysia sabah,en,negative,positive
Nearly 100 turn up for Sabah Climate Strike,close to 100 people gathered at the pillars of sabah around 3 pm yesterday to push the government into addressing the current climate crisis organizations and individuals representing various civil society organizations in sabah had planned to march to the segama waterfront boardwalk at 4 pm but were stopped by the police participants were clad in green and black clothing while many wore face masks in light of the current haze situation the masks too were symbolic of human action muting the environment the event was organized as part of the global climate strike a movement that saw similar protests happening in hundreds of cities across the world,en,negative,positive
Sabah first to launch policy on environment,chief minister datuk seri musa aman launched the sabah state policy on the environment during the 14th state assembly sitting here yesterday making sabah the first state to have initiated the formulation of the policy the policy outlines strategies and action plans based on five thematic aspects of the environment namely land air water biodiversity and social dimension to ensure effective implementation of the policy the state government through the ministry of tourism culture and environment has just completed 83 strategies and 195 action plans based on the thematic aspects the action plans for the sabah state policy on the environment will be implemented for 15 years from 2018 to 2033 the policy outlines three objectives namely to provide a vision for environmental conditions and standards an environmental framework for regulatory mechanisms and guidance for all decision makers and implementing agencies in the execution of the mandates and duties,en,positive,positive
Penampang school steps up environmental awareness,sm st michael penampang has stepped up its environmental awareness programme by engaging communities to play their role in preserving mother nature with treeplating activities deforestation is one of the biggest environment challenges that were currently facing thus as an educational institution it is important to impart knowledge about current environmental issues not just to students but also to the community therefore st michaels penampang secondary school being the trophy holder and award bearer of the sekolah lestari mentor serasi and ecoschool organized a programme to help communities understand better about current issues that are happening in our environment and also how they can play their role to preserve mother nature said the principal jennifer asing she said the school is enhancing its effort to raise environmental awareness among the communities by supporting the malaysia greening programme plant 100 million trees campaign which is a fiveyear long campaign initiated by the ministry of energy and natural resources,en,positive,positive
