Title,Content,Language,Sentiment
Pengurusan alam sekitar perlu seimbang,dalam usaha menjadikan sabah lebih maju dalam bidang bioteknologi keseimbangan antara kehendak generasi sekarang dan akan datang perlu bagi menguruskan sumber alam semulajadi sama ada dari segi ekonomi mahupun pemuliharaannya menteri pelancongan kebudayaan dan alam sekitar datuk masidi manjun berkata dalam pengurusan sumber pihak berkenaan perlu mengambil langkah berhatihati kerana ia turut membabitkan aktiviti ekonomi yang besar termasuklah dalam bidang pertanian pembalakan perlombongan dan pelancongan saya melihat kajian dan bengkel ini adalah sebagai satu langkah yang baik dalam usaha menjadikan sabah lebih maju dalam bidang bioteknologi dan farmasi dengan memanfaatkan biodiversiti dan pengetahuan asal katanya beliau berkata demikian ketika merasmikan bengkel mengakses dan mengkomersilkan biodiversiti dan kajian etno hutan di sini kelmarin ucapan beliau disampaikan oleh pembantu menteri pelancongan kebudayaan dan alam sekitar datuk ellron angin,ms,negative
Lebih 700 pelajar sertai Hari Alam Sekitar Institut Sinaran,diadakan sempena hari alam sekitar sedunia institut sinaran turut mengadakan pameran bertemakan 7 billion dreams one planet consume with care bagi meningkatkan kesedaran masyarakat mengenai kepentingan alam sekitar pengerusi lembaga pentadbiran institut sinaran fong tet kong berkata semua masyarakat perlu bekerjasama bagi memastikan kesejahteraan serta kemapanan alam sekitar yang berterusan kita harus bersamasama membantu mengurangkan pencemaran menjimatkan penggunaan sumber di samping mengurangkan lagi impak negatif terhadap alam sekitar usaha ini penting bagi memastikan kestabilan dan kemapanan alam sekitar berterusan pada masa hadapan khususnya di sabah katanya ketika majlis penutupan hari alam sekitar institut sinaran di sini kelmarin fong berkata sabah juga dalam usaha mencari penyelesaian yang terbaik bagi mencapai tahap kelestarian serta penggunaan sumber yang cekap kita juga berbesar hati kerana begitu banyak usaha yang dilakukan dalam pengurusan sumber yang cekap sebagai contoh kini terdapat empat juta hektar kawasan hutan bakau marin dan rizab hidupan liar serta kawasan perlindungan di sabah yang diurus dengan baik katanya,ms,positive
Pelan tindakan untuk pengurusan alam sekitar di semua daerah,kementerian pembangunan luar bandar kplb memberikan tempoh sehingga 15 jun depan bagi semua daerah di sabah yang mengikuti kursus pengurusan alam sekitar bagi mengemukakan satu pelan tindakan menterinya datuk dr ewon ebin berkata pelan tindakan itu diperlukan bagi memudahkan pengurusan alam sekitar di sesebuah daerah khususnya untuk melupuskan sampah katanya kerajaan memang mengambil berat tanggungjawab dalam memulihara alam sekitar kerana pemuliharaan itu akan menjamin kesinambungan kehidupan di dunia,ms,negative
Penduduk mahu pembalakan haram dihentikan,penduduk rumah panjang di batu 9 jalan teku di sini memohon jasa baik pihak berkaitan menghentikan aktiviti pembalakan haram di batu 8 jalan oya belakang taman permaikampung jeriah di sini tuai rumah johnny suan 41 mewakili penduduknya berkata kegiatan terbabit berlaku sejak jun lalu kami pernah melaporkan perkara ini di balai polis sungai merah pada 24 jun lalu selepas itu pihak berkenaan mengambil tindakan sewajarnya kepada pembalak haram terbabit namun tidak lama selepas itu kegiatan itu beroperasi kembali ia terus beroperasi sehingga kami membuat laporan polis lagi pada 19 november lalu bagaimanapun aktiviti pembalakan haram masih lagi diteruskan sehingga kini katanya di sini semalam johnny mendakwa selain melakukan aktiviti haram individu atau syarikat terbabit dikatakan menceroboh tanah hak adat bumiputera ncr atau lebih dikenali dalam bahasa tempatan pemakai menua milik tiga penduduk rumah panjang di sini,id,unknown
Didik golongan muda prihatin terhadap pemuliharaan alam sekitar,golongan muda harus dididik dan disedarkan mengenai pentingnya pemuliharaan alam sekitar untuk keseimbangan alam semula jadi dan ekosistem memandangkan isu ketidakseimbangan alam kian meruncing residen bahagian sarikei dr anthony valentine laiseh berkata melalui kesedaran itu generasi muda dapat memain peranan lebih aktif dan menggembleng tenaga melindungi alam sekitar serta menyelesaikan masalah berkaitan isu persekitaran pelestarian alam sekitar merupakan isu penting yang harus disemai dalam kalangan generasi muda ke arah mengekal keindahan alam semula jadi untuk tatapan generasi akan datang alam semula jadi khazanah paling berharga pemusnahan dan penebangan hutan secara berleluasa tanpa kawalan harus dipandang serius oleh semua pihak dan tidak meletakkannya sebagai tanggungjawab satu pihak sahaja,ms,negative
Sabah tubuh Majlis Tindakan Iklim tangani isu perubahan iklim,kerajaan negeri telah menubuhkan majlis tindakan lklim sabah yang bertindak dalam menetapkan hala tuju dan menyelaras projekprojek mitigasi dan adaptasi perubahan iklim di peringkat negeri kata ketua menteri datuk seri hajiji noor katanya sabah telah membuat pindaan ke atas ordinan tanah sabah bab 68 dengan memasukkan peruntukan perundangan berkaitan penyimpanan karbon yang mula berkuat kuasa pada 19 jun 2023 selain itu sabah juga baru sahaja menyelesaikan kajian inventori greenhouse gas sabah dan penilaian kerentanan untuk pembangunan dasar perubahan lklim sabah ke arah pembangunan rendah karbon sabah katanya menurut kenyataan media,ms,negative
Kumpulan Sawit Kinabalu ke arah tenaga boleh diperbaharui,kumpulan sawit kinabalu komited dalam memberi fokus untuk memantau tenaga boleh diperbaharui dan kesan rumah hijau khasnya berkaitan aktiviti sawit dan mitigasi berkenaan perubahan iklim semasa pengurus besar bahagian kelestarian kumpulan sawit kinabalu nazlan mohamad berkata ia dilaksanakan unit karbon dan perubahan iklim yang baru diwujudkan sejak jun tahun ini jelasnya unit ini penting dalam memahami perubahan iklim semasa khasnya di sabah dan dalam usaha melestari alam sekitar,ms,negative
Sabah komited dasar alam sekitar proaktif,sabah menerusi usaha kementerian pelancongan kebudayaan dan alam sekitar kepkas komited dalam usaha dasar alam sekitar yang proaktif khasnya bagi pembangunan mampan dan mengikut standard sewajarnya menterinya datuk seri christina liew berkata dasar negeri sabah mengenai akta perlindungan alam sekitar 2017 dan enakmen perlindungan alam sekitar 2002 berperanan khusus sebagai rangka kerja kritikal untuk membimbing komitmen negeri terhadap usaha pemuliharaan dan kemampanan alam sekitar kita adalah elemen penting dan menjadi tonggak strategik dalam pembangunan mampan dan pastinya memerlukan penggunaan dasar yang sesuai dengan menggabungkan faktor dan piawaian alam sekitar ke dalam semua aktiviti pembangunan untuk mengekalkan kelestarian alam sekitar dan sosial katanya pada majlis sambutan hari alam sekitar kebangsaan 2024 peringkat negeri sabah di sini isnin malam,ms,positive
Biodiversiti Sabah tarik perhatian universiti dari United Kingdom,pemeliharaan dan pemuliharaan biodiversiti di tapak warisan dunia taman kinabalu menarik perhatian pelajar universiti dari swansea university united kingdom datang dari pelbagai latar belakang sekumpulan 25 pelajar tahun ketiga biologi ini mengadakan lawatan sambil belajar ke taman kinabalu hujung minggu lalu di mana mereka dimaklumkan mengenai inisiatif perlindungan dan pemuliharaan alam sekitar sabah pelajarpelajar ini yang diketuai oleh dr aisling devine disambut mesra oleh pegawai penyelidik ekologi tamantaman sabah vanielie terrence justine sabtu lalu tujuan utama lawatan ini adalah untuk mempelajari lebih lanjut tentang flora dan fauna di taman kinabalu yang merupakan tapak warisan dunia unesco ,ms,positive
Sabah kekal 64 peratus kawasan litupan hutan,sabah pada masa ini mengekalkan 64 peratus daripada keluasan negeri ini sebagai litupan hutan dalam usaha melindungi khazanah semulajadi negeri di bawah bayu ini kata ketua menteri datuk seri hajiji noor beliau berkata kawasan itu juga meliputi 384 juta hektar atau 52 peratus keluasan negeri sebagai kawasan yang diwartakan sebagai kawasan hutan simpan dan kawasan perlindungan lain katanya langkah itu juga selaras dengan komitmen kerajaan sabah untuk mengekalkan sekurangkurangnya 50 peratus daripada keluasan negeri ini sebagai litupan hutan negeri sejajar dengan dasar hutan sabah 2018 bagi memperkasa pengurusan hutan negeri dan melindungi khazanah penting itu sabah telah mewartakan sehingga 19 juta hektar atau 264 peratus sebagai kawasan terlindung sepenuhnya ia penting bagi mencapai sasaran 22 juta hektar atau 30 peratus daripada keluasan negeri sebagai kawasan terlindung sepenuhnya menjelang 2025 katanya dalam ucapan pelancaran hari hutan antarabangsa 2023 peringkat negeri sabah di rainforest discovery centre rdc di sini khamis,ms,positive
